"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins","off_coeff","def_coeff","yusag_coeff","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"La Salle",0,6.478791,0,6.478791,0.875074955026984,-7.17523808275631,0.380772009763358,-6.79446607299293,0,0,1,1,86.5,16.5
"La.-Monroe",9.23325,2.570246,0,-6.663004,0.3646,-0.0328872937101017,2.01738491872323,1.98449762501314,0,0,0,0,0,0
"Lafayette",3.287103,4.616442,0,1.329339,0.602723267921506,-2.53596257523622,-10.6953213133749,-13.2312838886111,0,0,0,0,0,0
"Lamar University",1.963735,3.0686036,0,1.1048686,0.55631126225245,-3.41488439168644,-9.91235327012132,-13.3272376618078,0,0,0,1,0,0
"Lehigh",1.86762,8.303354,0,6.435734,0.6192,-1.73752973729469,-0.655032451491151,-2.39256218878585,0,0,0,0,0,0
"Liberty",1.37769,4.196619,0,2.818929,0.767013676632939,-10.2025120019248,1.69987398681505,-8.5026380151097,0,0,0,1,0,0
"Lipscomb",1.88113,6.67919,0,4.79806,0.771897895375426,2.80644126639051,-10.7563015244938,-7.9498602581034,0,0,0,2,0,0
"Little Rock",12.182329,0,0,-12.182329,0.53,-2.01322321877287,10.5577048470696,8.54448162829683,0,0,0,1,0,0
"LIU Brooklyn",5.380106,1.191924,0,-4.188182,0.570485902819436,0.447199660977247,-10.1883401249883,-9.74114046401103,0,0,1,1,84.48,14.48
"Long Beach St.",6.026933,7.097781,3.39867,4.469518,0.614354258296681,4.86722328669892,-0.152481802168007,4.71474148453093,0,0,1,2,80.8,20.28
"Longwood",5.12232,2.35313,0,-2.76919,0.450936118167278,-2.54382722453895,-6.8399176423463,-9.38374486688525,0,0,0,0,0,0
"Louisiana",6.927927,4.723064,0,-2.204863,0.411960132890365,6.06487480763009,-1.61539725858228,4.44947754904777,0,0,1,1,83.33,13.33
"Louisiana Tech",6.323046,3.948902,0,-2.374144,0.557985030695484,4.04437091375804,-3.83221029141949,0.21216062233863,0,0,1,1,85.97,15.97
"Louisville",10.78707,5.95324,1.67884,-3.15499,0.573114622924585,5.09744792959884,14.7044071236164,19.8018550532152,1,0,0,1,99.05,29.05
"Loyola Chicago",4.683035,2.933525,0,-1.74951,0.482703459308138,-5.64175417979103,5.04774648257802,-0.594007697213011,0,0,1,1,85.47,15.47
"Loyola Maryland",2.324002,6.081821,0,3.757819,0.60214501510574,-4.0971576680837,-5.25305764478272,-9.35021531286645,0,0,0,1,0,0
"Loyola Marymount",6.18581,2.491973,0,-3.693837,0.628,-0.556231683109764,-2.65385615277859,-3.21008783588835,0,0,1,1,83.33,13.33
"LSU",11.27121,5.720205,0,-5.551005,0.512683785061578,9.44134476705371,-1.49129997392951,7.9500447931242,0,0,5,5,87.05,44.97
