"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins"
"TCU",1.71086,16.75619,0,15.04533,0.649873554713814
"Temple",6.13693,6.613927,0,0.476997,0.693349672845044
"Tennessee",3.763152,8.6121,0,4.848948,0.872251099560176
"Tennessee Martin",10.05516,1.73321,0,-8.32195,0.573647680951856
"Tennessee St.",5.83422,1.293261,-0.557517,-5.098476,0.396758703481392
"Tennessee Tech",1.851693,5.45001,-0.0604475,3.5378695,0.288857771554311
"Texas",7.44243,2.1165843,1.5175,-3.8083457,0.6566
"Texas A&M",3.65778,10.8335,0,7.17572,0.399651972157773
"Texas A&M Corpus Chris",7.390815,1.869892,0,-5.520923,0.597870157784183
"Texas Southern",6.117967,1.97631,1.62685,-2.514807,0.430032415650824
"Texas St.",5.76221,2.904375,0,-2.857835,0.675016431753451
"Texas Tech",6.42527,12.22836,1.53318,7.33627,0.357814688813288
"The Citadel",0.585637,6.966068,0,6.380431,0.743658748223695
"Toledo",9.56705,6.03636,1.10409,-2.4266,0.72768707090521
"Towson",4.43107,4.594651,0,0.163581,0.230953809238152
"Troy",5.25236,7.417675,0,2.165315,0.581196712615224
"Tulane",3.93851,5.334713,-0.148032,1.248171,0.605078984203159
"Tulsa",0.63789,7.06962,3.51353,9.94526,0.575842630559715
"UAB",3.656555,4.782718,0,1.126163,0.31993601279744
"UC Davis",3.3213934,2.782582,0,-0.5388114,0.737012823830098
"UC Irvine",4.86912,0.486801,0,-4.382319,0.9133962492284
"UC Riverside",0.525751,1.5947415,0,1.0689905,0.522046915305035
"UC Santa Barbara",-0.016005,-0.0112179999999997,2.16305,2.167837,0.383806994745466
"UCF",4.569029,6.995726,3.29957,5.726267,0.811865180507475
"UCLA",17.92093,6.95755,0,-10.96338,0.5264
"UMass Lowell",3.250673,6.42749,0,3.176817,0.518903780756151
"UMBC",3.46499,7.794319,0,4.329329,0.564335582511018
"UMKC",8.497477,1.525838,0,-6.971639,0.698403898898009
"UNC Asheville",2.76235,8.9285131,0,6.1661631,0.0764
"UNC Greensboro",4.53456,6.881822,0,2.347262,0.690449840505176
"UNC Wilmington",12.94114,4.45462,0,-8.48652,0.673469387755102
"UNLV",4.611982,1.879032,3.82412,1.09117,0.530293941211757
"USC",2.0831,12.42681,1.04018,11.38389,0.552019817073171
"USC Upstate",4.451354,4.54811,0,0.0967559999999992,0.580435483449364
"UT Arlington",6.80406,6.60019,0,-0.20387,0.153645354107456
"UT Rio Grande Valley",1.59877,6.013599,0,4.414829,0.634053477874461
"Utah",11.40501,5.92651,2.11908,-3.35942,0.431450440848755
"Utah St.",5.428984,7.31126,0,1.882276,0.706549612179825
"Utah Valley",1.609892,5.372401,0,3.762509,0.405625540161852
"UTEP",2.29083,5.983728,0,3.692898,0.448579431772709
"UTSA",3.568316,0.6882456,0,-2.8800704,0.697833514923769
"Valparaiso",8.128168,4.199206,0,-3.928962,0.718482325253563
"Vanderbilt",5.97169,11.921651,0,5.949961,0.4064
"VCU",8.416001,4.64504,2.38359,-1.387371,0.607810281769676
"Vermont",3.50338,9.77514,0,6.27176,0.483953104761483
"Villanova",11.54741,14.20698,0,2.65957,0.406084789211014
"Virginia",7.14601,8.59434,2.07301,3.52134,0.628
"Virginia Tech",9.32635,10.51874,0,1.19239,0.7346
"VMI",5.549643,-0.177056,0,-5.726699,0.79539541118032
"Wagner",6.642332,1.8459349,0,-4.7963971,0.610119922513926
"Wake Forest",10.23025,11.42314,0,1.19289,0.337
"Washington",5.441,8.0457479,0,2.6047479,0.95218087234894
"Washington St.",9.81303,1.535753,0.431417,-7.84586,0.539223781998348
"Weber St.",5.792146,6.216074,0,0.423928000000001,0.697564593522974
"West Virginia",5.64431,9.25074,0,3.60643,0.594337076225437
"Western Carolina",-0.611118,0.977955,0,1.589073,0.488804478208717
"Western Illinois",4.66879,0.573174,0,-4.095616,0.775268336314848
"Western Kentucky",3.944081,3.21855,4.14931,3.423779,0.518323594938837
"Western Michigan",2.5182,9.376879,0,6.858679,0.592889082955308
"Wichita St.",0,17.53407,0,17.53407,0.139171758316361
"William & Mary",9.513212,2.50972,0,-7.003492,0.5818
"Winthrop",6.564916,4.791952,0,-1.772964,0.708713663588346
"Wisconsin",12.4098,5.30124,0,-7.10856,0.938890505542181
"Wofford",6.89313,7.639204,0,0.746074,0.925520052099274
"Wright St.",6.52132,6.17313,0,-0.348189999999999,0.662495968257252
"Wyoming",1.528677,7.55306,0,6.024383,0.331587924390569
"Xavier",7.51021,10.327769,1.58438,4.401939,0.419116176764647
"Yale",4.92782,6.949708,0,2.021888,0.904038384646141
"Youngstown St.",1.944887,6.681337,0.481718,5.218168,0.343325339728217
