"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score","year"
"Central Michigan","MAC",1,0,1,2,6,82.65,44.5,2010
"Oregon State","Pac-12",8,0,0,3,4,85.87,44.49,2010
"Massachusetts","A-10",3,0,0,4,4,87.43,42.13,2010
"Virginia Tech","ACC",11,0,1,1,2,92.46,41.31,2010
"VCU","A-10",4,0,0,6,6,84.95,41.04,2010
"Western Kentucky","C-USA",2,0,0,4,5,84,41.02,2010
"Providence","Big-East",5,0,1,1,2,91.97,40.8,2010
"Butler","Big-East",6,0,0,3,3,86.98,40.62,2010
"North Texas","C-USA",3,1,0,0,3,85.39,40.23,2010
"Indiana","Big-Ten",8,0,0,2,3,86.08,40.18,2010
"Louisville","ACC",12,0,1,1,2,91.41,39.91,2010
"Southern Miss","C-USA",4,0,0,4,6,83.01,39.31,2010
"DePaul","Big-East",7,0,0,3,3,87.36,39.11,2010
"Georgia Tech","ACC",13,0,1,1,2,90.91,38.86,2010
"Iowa","Big-Ten",9,0,0,4,4,85.99,38.64,2010
"Iowa State","Big-12",8,0,0,5,5,84.37,37.95,2010
"Arkansas","SEC",12,0,0,2,2,90.75,37.51,2010
"Tulsa","AAC",3,0,0,3,3,86.66,37.48,2010
"Long Beach State","Big-west",1,0,0,3,4,83.37,36.88,2010
"Texas Tech","Big-12",9,0,0,3,3,86.22,36.78,2010
"Georgia","SEC",13,0,0,2,3,84.53,36.6,2010
"Brigham Young","WCC",1,0,0,2,3,84.4,35.79,2010
"New Mexico","M-West",1,0,1,1,2,88.74,35.26,2010
"San Diego","WCC",2,0,0,3,4,82.6,35.02,2010
"Wisconsin-Milwaukee","Horizon",2,0,0,4,5,82.59,34.39,2010
"Colorado State","M-West",2,0,0,3,4,82.84,34.11,2010
"Washington State","Pac-12",9,0,0,2,3,84.38,33.81,2010
"Louisiana Tech","C-USA",5,0,0,3,6,80.39,33.41,2010
"Rutgers","Big-Ten",10,0,0,3,4,81.92,33.04,2010
"UC Davis","Big-west",2,0,0,2,3,83.87,32.51,2010
"Tennessee State","OVC",1,0,1,0,5,78.63,31.75,2010
"Akron","MAC",2,0,0,3,5,81.36,31.69,2010
"Richmond","A-10",5,0,0,3,3,83.53,31.6,2010
"Cincinnati","AAC",4,0,0,2,2,87.27,31.4,2010
"Seton Hall","Big-East",8,0,0,2,3,82.79,30.93,2010
"George Mason","A-10",6,0,0,2,2,86.64,30.15,2010
"Bowling Green","MAC",3,0,0,3,4,81.27,30.04,2010
"La Salle","A-10",7,0,0,2,3,82.26,29.99,2010
"Ohio","MAC",4,0,0,4,4,82.29,29.43,2010
"Northern Colorado","Big-Sky",1,0,0,2,2,86.18,29.39,2010
"Colorado","Pac-12",10,0,0,2,2,85.85,29.36,2010
"Georgia State","SBC",1,0,0,2,5,79.58,29.16,2010
"Middle Tennessee State","C-USA",6,0,0,2,6,79.36,29.09,2010
"East Carolina","AAC",5,0,0,2,3,82.43,29.06,2010
"Temple","AAC",6,0,0,2,2,85.91,28.98,2010
"USF","AAC",7,0,0,1,5,79.37,28.91,2010
"Rice","C-USA",7,0,0,3,3,82.59,28.7,2010
"IPFW","Summit",1,0,0,2,5,79.4,28.6,2010
"Charleston Southern","B-South",1,0,0,2,4,80,28.1,2010
"Davidson","Southern",1,0,0,2,2,85.28,28,2010
"James Madison","CAA",1,0,0,2,3,81.39,27.86,2010
"Houston","AAC",8,0,1,0,2,84.4,27.47,2010
"East Tennessee State","Southern",2,0,0,2,4,79.84,27.47,2010
"St. Mary's","WCC",3,0,0,2,2,85.21,27.39,2010
"TCU","Big-12",10,0,0,2,5,79.18,27.36,2010
"Stony Brook","A-East",1,0,0,2,3,81.32,27.31,2010
"Duquesne","A-10",8,0,0,2,3,81.17,27.08,2010
"Missouri State","MVC",1,0,0,3,3,81.96,26.57,2010
"Miami (OH)","MAC",5,0,0,2,4,80.02,26.53,2010
"Western Michigan","MAC",6,0,0,2,3,80.89,26.41,2010
"Appalachian State","SBC",2,0,0,3,3,81.78,26.4,2010
"UCF","AAC",9,0,0,1,3,80.36,25.83,2010
